uid,group,total_spent
1014313,B,0
1029532,B,0
1018168,A,0
1029599,A,0
1025920,B,0
1026296,B,0
1006164,B,0
1015861,B,0
1024055,A,116.08
1004021,A,0
1016914,B,0
1016676,A,0
1027709,B,0
1015364,A,0
1002647,A,0
1001142,B,0
1022001,B,0
1018291,A,0
1017046,B,0
1016211,A,0
1017934,B,0
1005525,A,0
1022346,B,0
1003425,A,0
1002540,B,0
1029870,B,0
1002251,B,0
1027928,B,62.85
1027405,B,0
1007783,B,0
1025885,A,0
1003838,A,0
1027416,A,0
1019339,B,0
1001840,B,0
1021680,B,0
1011229,A,0
1018713,A,0
1013690,B,0
1011797,A,0
1013989,B,0
1001387,A,0
1026945,B,0
1010341,A,0
1010936,A,0
1000127,B,0
1023594,A,0
1028215,B,0
1017607,A,0
1010462,B,0
1008510,A,0
1026776,A,0
1019087,A,0
1010314,A,0
1005392,B,0
1009644,A,0
1002615,A,0
1007322,A,0
1008688,B,0
1025827,B,0
1024425,B,0
1012231,A,0
1007449,A,0
1029248,B,0
1015161,A,0
1022117,A,0
1029585,A,0
1002474,B,0
1023586,A,0
1007120,A,0
1000789,A,0
1017385,B,0
1004755,A,77.39
1028138,B,0
1019181,B,0
1001445,B,0
1007401,B,0
1021518,A,0
1028454,B,0
1017307,B,8.66
1025956,A,0
1004543,A,0
1017734,A,0
1019476,B,0
1010064,A,0
1008989,A,0
1027437,A,31.97
1009401,A,0
1018476,A,0
1020037,B,0
1003161,B,0
1022808,B,0
1027061,A,0
1026682,A,0
1025315,B,0
1014231,B,0
1005201,A,0
1000219,A,0
1019481,A,0
1017429,B,0
1020094,B,0
1002795,B,0
1018663,A,0
1006831,A,0
1008895,A,0
1003608,B,0
1014572,A,0
1012112,B,0
1020204,B,0
1007577,A,0
1020127,B,0
1005363,B,0
1016752,A,0
1016637,A,0
1028938,B,0
1012490,B,0
1027887,B,0
1021504,A,0
1018269,B,0
1014597,A,0
1013033,A,0
1026156,B,0
1017627,A,0
1006663,A,0
1016021,B,0
1002031,A,0
1027083,A,0
1001752,A,0
1021818,A,0
1009143,A,0
1024070,A,0
1022743,B,0
1026578,B,0
1024862,A,0
1010219,B,0
1017643,A,0
1016081,A,0
1000999,A,0
1025990,B,0
1004165,B,0
1027321,A,0
1018409,B,0
1026985,B,0
1013422,A,0
1005365,B,0
1016135,B,0
1026637,A,0
1015878,B,0
1008593,A,0
1019462,B,0
1005195,B,0
1005986,B,0
1004878,A,0
1020088,A,0
1025935,A,0
1009402,B,0
1027798,A,0
1003791,B,0
1015515,B,0
1027160,B,0
1015464,A,0
1005368,B,0
1023581,B,0
1014889,B,0
1016306,A,0
1012619,B,0
1022942,B,0
1029542,B,0
1008868,B,0
1025217,B,0
1017885,A,0
1017878,A,0
1006076,B,0
1011966,B,0
1025261,A,0
1013153,A,0
1003637,A,0
1008611,A,0
1017801,A,40.89
1028511,A,0
1017156,A,0
1008219,A,0
1011354,B,0
1021707,B,0
1013898,B,0
1008830,B,0
1019753,A,0
1028248,A,0
1001685,B,83.37
1007597,B,0
1004202,A,67.12
1019143,B,0
1007540,B,0
1003174,A,187.52122870620462
1012078,A,0
1018334,A,0
1012345,A,0
1011033,A,0
1022750,A,0
1001168,B,0
1021565,A,0
1022871,A,0
1011937,A,0
1000362,A,0
1028406,A,0
1027566,A,0
1023207,A,0
1013576,B,0
1013332,B,0
1024038,A,0
1003860,A,0
1000942,B,0
1025641,B,0
1005941,B,0
1028252,B,0
1012226,A,0
1019856,A,0
1007932,B,36.34
1007090,A,0
1006955,A,0
1021586,B,0
1008292,B,0
1017512,B,0
1009204,A,0
1016679,B,0
1002451,A,0
1026468,B,0
1017639,A,0
1012669,A,0
1027935,A,0
1020984,A,0
1017030,B,0
1010300,A,0
1002852,A,0
1004806,B,0
1006697,B,0
1010395,A,0
1024039,A,0
1014534,B,0
1006170,A,0
1004943,B,0
1005755,B,0
1008417,A,0
1021136,A,0
1022288,A,0
1025443,B,0
1023756,B,0
1014081,A,0
1029780,B,0
1017082,A,0
1020558,B,0
1021432,B,0
1002761,B,0
1028302,B,0
1009156,A,0
1018835,A,0
1008409,A,147.05
1020974,A,0
1016526,B,0
1014179,B,0
1009658,B,0
1004628,B,0
1014448,B,0
1026197,A,0
1027957,B,0
1028755,A,0
1020266,A,0
1007187,A,0
1021024,A,0
1018825,A,0
1019719,A,0
1027247,A,0
1015134,A,0
1008776,A,0
1021606,A,0
1001459,B,0
1027445,A,0
1023503,A,0
1023152,A,0
1000296,A,0
1021050,A,0
1017215,A,0
1010631,B,0
1015608,A,0
1027139,A,0
1019069,A,0
1008800,A,0
1000587,A,0
1004162,A,0
1001250,A,0
1002827,A,0
1012649,A,0
1026639,B,0
1018960,B,0
1013584,B,0
1007040,B,0
1002626,A,0
1028132,A,0
1029493,A,0
1006568,B,0
1009184,A,0
1015617,B,0
1000186,A,0
1023449,A,105.21
1013427,B,0
1013927,A,0
1010060,B,0
1010204,B,0
1015435,A,0
1010538,A,0
1010312,B,0
1004893,B,0
1024422,A,0
1010964,A,0
1027847,A,0
1004000,A,0
1029566,B,0
1000505,B,0
1011989,A,0
1022093,B,0
1010287,A,0
1016989,A,0
1026528,B,0
1000483,A,0
1024210,A,0
1001926,B,0
1026171,B,0
1025565,B,0
1020064,B,0
1019044,A,0
1005478,B,0
1023893,B,0
1014530,A,0
1002884,B,0
1009485,A,0
1016268,B,0
1015037,B,0
1007285,B,0
1006067,B,0
1015804,A,0
1020490,B,0
1023019,B,0
1028100,B,157.15
1009220,A,0
1020091,A,0
1019395,B,0
1002111,A,0
1013924,B,0
1002856,B,0
1025548,B,0
1026827,B,0
1009840,B,0
1021902,A,0
1002404,B,0
1005016,A,0
1016537,B,0
1001338,B,0
1001741,B,0
1008341,B,0
1001975,A,61.1
1026371,A,76.21
1015008,B,0
1000372,B,0
1013619,A,0
1011110,B,0
1008975,B,0
1003910,B,0
1008161,B,0
1011805,B,0
1029718,B,0
1020278,A,0
